"person_id","income_year2000","income_year2001","income_year2002","income_year2003","income_year2004","income_year2005","income_year2006","income_year2007","income_year2008","income_year2009","income_year2010","gender","occupation_busdriver","occupation_cashier","occupation_nurse"
"39","20.37","22.64","24.36","24.17","26.05","27.44","29","28.54","29.84","30.7","32.74","Female","0","1","0"
"40","24.44","25.76","25.12","26.35","27.01","28.38","28.78","31.08","31.85","32.78","35.69","Female","1","0","0"
"41","25.33","23.94","25.53","26.86","27.09","26.8","28.4","28.52","29.69","30.76","31.05","Female","0","1","0"
"42","23.92","26.61","26.77","29.22","31.06","32.18","32.58","34.24","36.01","38.08","40.18","Female","0","0","1"
"43","18.44","20.67","21.36","23.82","25.49","25.7","26.29","26.62","27.75","28.47","30.94","Female","0","1","0"
"44","18.61","19.54","19.97","18.63","20.22","20.65","22.72","24.47","23.85","24.42","23.78","Female","0","1","0"
"45","10.54","12.9","15.77","17.65","16.65","17.9","20.77","20.12","20.89","21.76","21.11","Female","0","1","0"
"46","25.88","26.89","26.21","29.88","32.54","32.42","33.63","35.1","37.15","40.59","43.48","Female","0","0","1"
"47","16.97","19.67","21.46","20.32","21.33","22.53","24.26","25.48","28.15","29.57","33.59","Female","0","1","0"
"48","23.75","23.47","24.57","25.99","27.39","27.36","28.96","29.47","29.68","32.4","33.87","Female","0","0","1"
"49","22.55","23.73","25.12","25.93","27.71","28.6","29.48","31","31.87","34.51","35.58","Female","0","1","0"
"50","20.32","22.09","23.66","25.23","26.79","29.71","31.61","32.45","34.14","36.35","37.33","Female","0","0","1"
"51","16.51","17.87","20.11","22.65","23.31","23.93","25.64","24.24","24.98","25.85","25.71","Female","0","1","0"
"52","28.02","29.09","29.14","31.99","33.47","34.92","35.74","36.92","39.09","41.44","40.68","Female","0","1","0"
"53","19.54","20.6","21.38","22.68","23.19","23.6","23.36","24.17","26.32","27.87","29.31","Female","0","1","0"
"54","11.22","13.06","14.08","17.08","18.55","20.39","21.51","21.47","23.08","25.05","26.62","Female","0","1","0"
"55","20.24","20.52","21.62","22.25","21.69","24.42","25.11","26.66","26.18","26.24","26.06","Female","1","0","0"
"56","24.16","25.06","25.7","27.21","28.07","29.59","31.74","33.16","34.14","39.73","41.35","Female","0","1","0"
"57","14.79","15.92","17.27","18.96","20.8","21.11","22.66","24.75","26.14","27.77","28.67","Female","0","1","0"
"58","20.8","23.02","24.56","24.78","25.81","26.57","27.06","26.85","28.31","29.92","31.88","Female","0","1","0"
"59","20.8","21.91","22.02","21.26","24.09","25.27","26.07","27.4","29.55","29.38","30.99","Female","0","1","0"
"60","25.09","26.12","26.95","29.5","31.34","32.25","32.38","34.21","34.83","36.37","37.85","Female","0","1","0"
"61","36.96","38.68","40.64","42.77","45.1","47.56","48.65","48.48","51.75","53.48","54.71","Female","0","0","1"
"62","25.44","25.63","27.61","29.62","31.39","32","33.41","34.78","37.87","39.54","39.57","Female","0","1","0"
"63","22.28","22.35","24.69","26.48","27.88","27.55","28.81","32.45","33.53","35.63","39.37","Female","0","1","0"
"64","27.14","29.16","31.42","33.65","33.79","34.21","34.65","35.28","35.81","37.69","39.61","Female","0","1","0"
"65","23.46","25.19","25.9","26.68","29.07","31.34","33.43","32.85","35.12","37.71","39.52","Female","0","1","0"
"66","18.07","20.72","21.43","21.72","22.43","23.54","25.78","26.07","27.04","30.21","31.65","Female","0","1","0"
"67","29.57","30.8","31.46","32.99","34.58","35.58","37.76","39.37","39.59","40.25","40.98","Female","0","1","0"
"68","22.03","23.86","23.27","23.02","23.93","25.8","26.89","25.02","26.12","27.4","28.18","Female","1","0","0"
"69","15.6","17.06","18.05","18.57","20.66","20.52","21.4","23.04","24.88","24.81","27.13","Female","1","0","0"
"70","16.84","19.61","20.56","20.73","21.47","23.11","24.73","25.82","26.6","29.09","30.1","Female","0","1","0"
"71","14.33","15.27","15.93","17.62","17.89","18.29","17.73","19.4","20.69","22.29","22.04","Female","0","1","0"
"72","21.77","22.05","22.36","23.53","26.39","27.69","28.27","29.23","32.07","33.85","34.17","Female","0","1","0"
"73","19.28","19.95","21.16","23.71","25.03","27.26","29.03","30.21","31.12","32.26","33.2","Female","0","1","0"
"74","24.06","24.8","26.06","26.47","28.55","27.82","27.88","28.93","29.58","31.26","32.11","Female","0","1","0"
"75","29.94","30.64","32.52","35.53","38.19","40.93","43.49","46.62","47.72","49.82","52.63","Female","0","0","1"
"76","21.66","23.82","25.43","27.08","27.38","30.27","30.98","35.28","34.58","35.48","38.01","Female","0","1","0"
"77","19.7","20.97","21.51","20.77","22.42","23.72","25.48","24.49","24.39","25.07","26.95","Female","1","0","0"
"78","16.36","17.92","18.65","21.12","21.55","22.38","23.8","26.03","26.92","29.63","30.49","Female","0","1","0"
"79","25.36","26.23","26.44","28.68","29.24","31.39","30.09","31.87","33.76","32.57","34.28","Female","1","0","0"
"80","22.86","23.63","25.75","28.2","28.44","30.04","30.76","33.25","35.85","38.09","39.6","Female","0","0","1"
"81","23.02","25.7","26.11","28.76","31.28","32.4","33.81","32.37","32.21","32.86","34.58","Female","1","0","0"
"82","30.24","28.66","29.81","30.81","32.75","35.24","35.82","36.2","37.58","38.9","40.04","Female","0","0","1"
"83","14.81","16.71","17.69","17.21","16.4","18","18.94","19.89","20.33","21.37","23.37","Female","0","1","0"
"84","12.55","15.05","16.25","17.79","18.05","19.57","22.14","23.59","23.52","24.67","25.36","Female","0","0","1"
"85","21.61","23.62","22.51","22.24","23.26","23.51","25.22","26.98","27.45","28.05","30.46","Female","1","0","0"
"86","23.42","24.65","25.95","27.4","28.53","28.94","30.8","32.26","35.04","35.65","37.2","Female","0","1","0"
"87","25.42","27.58","27.91","27.49","31.27","32.83","36.19","37.01","38.72","40.91","43.33","Female","0","0","1"
"88","24.46","24.64","26.47","28.12","29.85","31.63","36.39","39.24","40.3","41.82","43.4","Female","0","0","1"
"89","16.32","16.76","17.56","17.48","18.57","17.44","18.92","20.84","21.27","23.18","25.5","Female","0","1","0"
"90","19.18","18.44","20.55","21.01","20.9","21.91","22.93","22.82","24.58","26.91","30.37","Female","0","1","0"
"91","17.42","19.67","22.3","24","26.59","26.98","29.14","30.94","33.52","35.64","36.58","Female","0","1","0"
"92","19.08","19.27","19.38","20.81","21.36","23.45","25.78","27.76","28.11","30.14","31.01","Female","1","0","0"
"93","21.26","21.64","23.39","25.33","26.49","28.72","29.52","31.76","30.93","31.23","32.28","Female","1","0","0"
"94","30.66","32.82","34.16","37.12","40.14","43.72","46.47","48.17","51.97","53.95","56.62","Female","0","0","1"
"95","22.9","22.88","23.85","24.35","26.66","26.74","28.21","29.04","29.43","30.79","30.46","Female","0","1","0"
"96","22.46","25.49","25.93","26.93","26.62","28.24","28.73","30.26","29.45","31","31.2","Female","0","1","0"
"97","21.67","23.72","24.44","26.02","26.56","25.49","26.15","29.52","30.76","32.09","33.52","Female","1","0","0"
"98","23.81","24.17","24.95","26.29","28.99","28.46","30.03","31.06","31.39","32.91","35.29","Female","1","0","0"
"99","15.92","16.8","18.99","21.64","21.2","23.98","24.69","24.9","26.72","28.83","28.8","Female","0","1","0"
"100","28.64","32.17","34.08","37.29","39.17","39.46","39.45","39.51","42.54","43.79","48.53","Female","0","0","1"
"101","19.99","24.03","23.92","25.04","25.17","26.46","26.42","26.57","27.39","28.1","30.51","Female","0","1","0"
"102","3.5","5.74","5.34","5.79","6.98","7.33","9.3","11.08","12.13","12.37","13.61","Female","0","1","0"
"103","22.79","22.24","24.92","24.79","27.05","28.47","30.37","32.18","35.56","35.21","35.83","Female","0","1","0"
"104","22.32","24.88","26.98","28.74","31.06","30.72","31.19","30.56","33.32","33.98","35.43","Female","1","0","0"
"105","22.46","25.11","27.16","28.55","29.19","29.01","30.05","30.98","33.99","33.2","35.45","Female","0","1","0"
"106","28.64","30.31","31.4","32.35","33.67","35.51","37.36","39.36","41.56","41.79","44.06","Female","0","0","1"
"107","26.95","27.67","29.34","30.33","31.63","31.78","31.23","31.43","32.75","33.62","34.77","Female","0","1","0"
"108","25.86","26.37","26.96","27.54","28.55","31.84","35.51","38.75","40.77","42.43","45.43","Female","0","0","1"
"109","22.09","23.15","22.67","25.33","27.57","28.9","30.72","31.08","33.94","34.06","36.55","Female","0","1","0"
"110","14.99","15.04","16.53","18.6","19.56","21.05","21.52","22.89","24.27","26.12","28.33","Female","0","1","0"
"111","22.36","22.96","24.36","26.34","26.45","25.56","26.4","26.97","29.33","28.91","28.72","Female","1","0","0"
"112","20.33","20.95","22.01","24.13","26.99","29.73","29.83","30.52","32.23","33.32","33.12","Female","0","1","0"
"113","38.48","41.88","43.46","44.91","47.36","48.45","51.04","53.32","56.28","58.3","58.93","Female","0","0","1"
"114","22.82","24.63","25.47","27.72","27.31","27.94","29.31","30.87","33.11","34.07","34.63","Female","0","1","0"
"115","13.62","13.65","13.54","14.55","15.64","16.83","17.32","17.76","20.92","22.62","22.28","Female","0","1","0"
"116","19.95","22.48","23.96","25.04","27.06","29.21","32","33.95","36.8","38.77","41.01","Female","0","1","0"
"117","25.61","26.61","28.4","30.34","30.01","31.04","32.93","34.55","37.36","39.15","40.65","Female","1","0","0"
"118","19.16","20.48","23.34","24.57","25.1","25.69","27.43","28.96","29.4","30.63","32.06","Female","0","1","0"
"119","13.74","16.86","17.76","19.2","20.74","21.59","23.18","23.6","24.89","26.21","26.93","Female","0","1","0"
"120","24.73","24.62","24.05","24","25.18","25.14","26.07","26.07","27.66","29.01","31.39","Female","0","1","0"
"121","29.1","31.99","33.07","35.19","36.7","38.76","39.31","40.4","42.71","45.61","49.1","Female","0","0","1"
"122","20.5","20.71","23.27","22.63","22.2","23.21","25.17","26.48","25.67","24.01","23.22","Female","0","1","0"
"123","25.19","24.6","26.68","26.83","26.21","27.96","31.28","33.3","33.51","34.49","36.47","Female","1","0","0"
"124","22.86","22.81","24.98","25.91","26.4","27.66","29.95","29.97","32.45","33.9","34.05","Female","0","1","0"
"125","17.29","18.25","18.82","19.96","19.4","19.81","21.64","23.01","24.14","24.57","25.59","Female","1","0","0"
"126","28.48","29.41","29.98","31.63","33.39","34.84","35.73","37.82","38.94","40.58","42.45","Female","0","0","1"
"127","24.76","24.97","26.65","26.43","26.18","29.08","31.86","34.11","36.88","37.96","39.28","Female","0","1","0"
"128","18.56","19.47","21.05","22.95","23.17","24.34","26.9","29.02","31.41","34.21","37.13","Female","0","1","0"
"129","29.77","31.24","34.23","33.96","35.95","36.52","39.75","41.24","44.03","46.76","49.99","Female","0","0","1"
"130","19.05","21.03","20.06","20.08","22.67","25.24","25.74","25.94","30.67","30.1","31.7","Female","0","1","0"
"131","35.82","38.19","39.03","37.9","38.54","40.13","42.11","42.23","43.28","45","48.19","Female","0","1","0"
"132","25.9","27.23","27.82","28.12","29.54","30.92","31.76","32.33","32.82","32.83","32.89","Female","0","1","0"
"133","17.45","17.65","17.87","18.31","19.74","20.29","20.61","19.73","19.07","18.77","18.97","Female","0","1","0"
"134","21.91","24.07","27.32","29.3","29.17","30.64","30.62","30.76","30.59","32.31","34.06","Female","0","1","0"
"135","18.08","21.02","22.75","22.62","23.54","24","23.8","25.29","28.3","29.03","30.14","Female","0","1","0"
"136","23.38","25.63","28.56","29.98","29.33","29.38","30.47","30.86","30.52","32.26","33.05","Female","0","1","0"
"137","23.91","24.79","27.18","30.09","32.46","34.62","35.81","38.98","40.66","42.63","45.23","Female","0","1","0"
"138","17.37","17.08","19.84","22.56","25.29","24.71","26.48","27.45","28.67","28.47","29.34","Female","0","1","0"
"139","21.88","24.48","24.53","28.31","29.6","32.09","33.65","32.44","35.45","37.7","39.06","Female","0","1","0"
"140","26.54","27.57","29.92","31.03","32.25","33.08","36.42","38.71","40.41","42.66","44.09","Female","0","0","1"
"141","14.55","15.93","15.21","16.29","17.48","17.41","18.29","19.79","19.95","22.28","23.75","Female","0","1","0"
"142","20.54","23.26","25.27","27.99","30.57","31.41","33.06","35.31","37.06","39.56","41.54","Female","0","1","0"
"143","11.22","11.76","13.58","12.9","13.05","13.51","14.13","15.56","17.42","19.51","20.83","Female","0","0","1"
"144","13.1","13.66","13.78","15.73","15.43","14.99","14.73","15.37","17.36","19.39","21.3","Female","0","1","0"
"145","23.74","24.64","26.64","28.64","30.64","31.68","33.9","33.76","35.45","35.38","37.13","Female","0","0","1"
"146","16.71","18.03","19.13","21.18","21.49","24.71","25.34","26.66","29.84","32.46","33.32","Female","0","1","0"
"147","14.85","15.5","18.66","19.41","19.99","23.13","24.33","24.12","25.76","25.82","27.94","Female","0","1","0"
"148","36.88","37.89","40.58","44.07","46.77","47.31","48.23","48.84","50.24","51.78","53.76","Female","0","0","1"
"149","25.53","26.07","27.29","27.74","29.39","29.86","30.22","30.68","32.29","33.08","34.72","Female","0","1","0"
"150","23.25","25.08","27.86","27.23","28.36","29.8","31.96","32.88","34.21","35.75","37.08","Female","0","1","0"
"151","16.93","18.18","19.67","20.6","22.39","24.31","24.53","23.85","25.23","26.28","27.26","Female","0","1","0"
"152","41.01","41.39","43.4","43.78","45.9","48.27","49.29","50.62","53.24","55.37","56.14","Female","0","0","1"
"153","14.95","16.43","17.8","18.46","17.92","19.43","22.15","21.49","23.52","25.06","25.02","Female","0","1","0"
"154","20.62","20.72","21.17","21.53","23.13","24.87","24.74","25.99","26.76","29.1","29.4","Female","0","1","0"
"155","21.61","23.78","24.95","24.34","24.72","25.31","26.25","26.63","28.21","29.77","30.28","Female","1","0","0"
"156","17.96","17.77","17.38","19.14","22.04","23.01","24.15","25.82","28.21","30.25","31.56","Female","1","0","0"
"157","32.18","33.79","35.67","38.1","38.92","39.9","40.68","42.25","42.85","45.37","47.26","Female","0","0","1"
"158","12.66","11.54","11.15","11.64","12.18","11.78","12.96","13.92","15.51","14.89","14.48","Female","1","0","0"
"159","11.57","13.49","15.41","16.03","16.74","17.13","15.57","16.94","19.37","20.27","21.35","Female","0","1","0"
"160","20.31","22.84","23.57","23.32","24.81","25.92","27.24","28.11","29.34","30.59","31.66","Female","0","1","0"
"161","22.25","21.88","23.24","24.1","27.28","29.82","31.95","35.22","37.07","37.51","37.9","Female","0","0","1"
"162","15.82","17.35","18.63","21.51","22.22","23.93","25.69","27.76","27.81","29.39","30.11","Female","0","1","0"
"163","30.38","30.87","30.51","34.03","34.53","35.7","35.5","38.64","40.34","42.24","44.1","Female","0","0","1"
"164","14.92","15.06","17.13","17.27","17.56","21.43","21.32","22.51","24.69","26.04","27.24","Female","0","1","0"
"165","20.7","22.53","23.33","22.97","25.52","28.34","29.52","31.68","34.29","36.65","39.05","Female","0","1","0"
"166","32.67","34.03","35.26","36.83","36.09","38.52","40.83","43.37","44.98","47.47","49.76","Female","0","0","1"
"167","16.86","17.98","18.7","18.97","20.06","20.92","22.98","25.03","26.54","27.92","29.85","Female","0","1","0"
"168","17.95","17.22","19.13","20.45","21.12","22.15","23.2","27.12","25.93","26.89","27.99","Female","1","0","0"
"169","27.96","28.65","31.8","34.05","36.76","38.7","41.44","43.34","45.19","45.5","47.06","Female","0","0","1"
"170","18.16","19.32","19.21","20.68","22.43","23.98","25.44","26.38","26.6","27.92","31.1","Female","0","1","0"
"171","21.24","21.6","22.37","25","25.36","25.08","25.43","26.27","27.28","27.13","28.19","Female","1","0","0"
"172","21.25","21.57","22.91","23.37","25.68","26.81","30.73","31.7","32","32.73","35.01","Female","0","1","0"
"173","20.84","21.95","23.64","23.44","24.13","26.76","28.35","29.4","32.89","34.62","37.02","Female","0","1","0"
"174","23.66","25.56","27.27","29.27","28.88","29.32","30.01","31.19","34.11","36.15","37.14","Female","0","1","0"
"175","20.66","21.59","23.85","24.85","25.58","28.54","30.07","30.94","31.18","32.27","33.35","Female","0","1","0"
"176","28.97","29.62","30.53","29.77","31.74","31.81","34.03","35.41","37.02","38.49","39.8","Female","0","0","1"
"177","25.25","26.23","27.27","29.75","31.65","30.76","31.43","32.79","32.28","31.65","32.52","Female","1","0","0"
"178","18.19","19.84","21.29","20.58","22.27","23.07","24.64","26.49","27.16","29.14","30.82","Female","0","1","0"
"179","15.38","18.51","21.05","22.96","24.64","26","26.27","28.77","32.18","31.41","32.14","Female","0","1","0"
"180","22.57","23.34","24.66","26.72","28.02","29.4","30.86","32.43","35.3","36.67","37.86","Female","0","1","0"
"181","19.44","20.18","21.11","20.27","21.7","22.42","24.19","26.12","28.65","31.04","31.94","Female","1","0","0"
"182","17.71","20.38","21.8","22.2","23.81","24.72","27.01","27.2","26.49","27.92","30.27","Female","0","1","0"
"183","22.32","23.15","24.66","26.99","27.77","30.11","31.41","33.16","33.37","34.99","34.88","Female","0","0","1"
"184","30.88","32.02","34.24","35.51","35.78","38.58","39.76","41.97","45.78","46.96","49.52","Female","0","0","1"
"185","24.07","25.88","27.44","27.03","25.91","25.34","25.98","28.69","28.39","28.9","29.36","Female","1","0","0"
"186","27.43","27.78","28.12","29.11","30.36","31.35","32.85","34.39","35.65","37.3","37.94","Female","1","0","0"
"187","25.77","26.91","27.41","27.53","27.16","29.38","29.81","32.48","32.94","31.68","31.98","Female","0","1","0"
"188","21.32","21.77","23.15","24.36","26.4","28.34","29.76","30.31","31.36","33.49","36.24","Female","0","1","0"
"189","29.71","31.53","33.28","36.15","38.24","39.26","40.92","42.76","46.93","49.6","51.97","Female","0","0","1"
"190","33.57","36.1","37.17","38.61","39.13","39.49","40.7","43.02","43.61","45.2","48.33","Female","0","1","0"
"191","19.56","22.42","25.52","27.04","28.48","29.98","31.1","31.91","33.38","34.34","35.05","Female","0","1","0"
"192","23.3","24.27","26.27","27.69","28.94","28.99","30.87","33.69","34.8","34.25","35.63","Female","0","1","0"
"193","29.65","30.55","31.52","32.93","32.97","35.66","37","37.97","39.98","43.16","45.04","Female","0","0","1"
"194","23.44","24.17","25.11","26.29","28.77","31.42","29.85","31.66","31.52","33.21","34.68","Female","0","0","1"
"195","25.37","26.87","28.76","29.3","30.23","31.85","32.39","33.7","35.34","36.16","36.89","Female","1","0","0"
"196","26.72","28.38","29.8","32.25","34.27","37.1","37.39","39.67","41.17","41.67","44.05","Female","0","0","1"
"197","18.72","19.88","21.04","23.33","24.83","26.7","29.38","28.91","30.29","30.54","30.16","Female","0","1","0"
"198","10.93","12.64","14.95","17.95","18.82","21.04","22.91","23.7","23.73","24.8","25","Female","0","1","0"
"199","31.27","33.19","35.27","35.51","35.68","35.75","37.09","38.49","39.67","41.48","44.24","Female","0","0","1"
"200","20.59","21.19","23.5","26.17","26.6","28.64","30.09","30.65","32.18","33.16","34.25","Female","0","1","0"
"201","13.57","14.14","16.59","18.13","19.24","20.02","20.95","23.63","24.86","25.63","25.35","Female","0","1","0"
"202","12.61","13.47","14.38","15.83","17.2","18.53","20.69","20.98","23.48","26.52","27.47","Female","0","1","0"
"203","12.08","13.15","13.03","13.66","16.46","16.37","18.44","17.99","20.15","20.55","22.81","Female","0","1","0"
"204","25.93","27.55","31.16","32.79","33.79","34.29","34.19","36.13","36.58","38.76","41.13","Female","0","0","1"
"205","20.44","22.86","24.85","27.09","27.71","29.45","30.76","32.37","32.25","31.66","33.67","Female","0","0","1"
"206","23.21","23.99","25.9","27.44","29.75","30.43","31.1","31.51","32.98","35.22","37.42","Female","0","1","0"
"207","26.82","29.2","29.63","32.14","33.99","35.38","35.74","38.01","38.71","39.57","39.27","Female","1","0","0"
"208","10.79","12.59","14.18","14.97","16.86","19.25","19.15","21.5","22.6","24.13","27.09","Female","0","1","0"
"209","28.22","29.85","33.06","33.74","35.46","35.46","38.88","38.86","40.38","41.51","42.79","Female","0","1","0"
"210","23.76","23.51","24.89","26.61","28.57","30.01","31.77","32.15","35.04","37.91","39.38","Female","0","1","0"
"211","14.15","16.4","16.71","16.62","18.89","19.29","19.64","19.84","20.21","20.84","22.14","Female","0","1","0"
"212","19.21","19.64","21.04","22.92","24.68","26.31","26.34","26.83","29.17","31.79","32.9","Female","0","1","0"
"213","20.2","20.22","21.42","24.5","25.9","27.38","28.61","29.27","29.84","27.67","28.59","Female","0","1","0"
"214","22.42","23.19","24.16","25.88","26.39","26.87","27.51","27.58","30.42","31.72","32.37","Female","0","1","0"
"215","14.98","15.45","15.62","17.47","18.87","21.91","23.54","23.46","25.26","26.31","27.7","Female","0","1","0"
"216","15.63","15.34","17.05","17.87","19.73","20.37","22.23","22.84","25.79","26.46","26.4","Female","0","1","0"
"217","24.52","24.74","25.98","27.4","27.23","28.86","31.12","33.65","35.54","36.56","37.73","Female","0","1","0"
"218","33.44","35.34","37.39","39.49","41.31","44.28","48.07","50.49","52.18","53.97","56.9","Female","0","0","1"
"219","27.76","28.57","29.05","28.13","28.32","30.88","30.74","32.29","33.31","34.2","34.41","Female","1","0","0"
"220","22.26","24.12","26.94","27.79","27.07","27.58","28.09","29.31","31.3","34.43","35.51","Female","0","1","0"
"221","22.97","23.29","23.81","23.94","24.37","27.1","27.79","28.93","30.71","31.52","33.14","Female","0","1","0"
"222","24.52","27.38","28.07","27.49","27.57","29.37","30.31","30.88","33.44","35.97","37.93","Female","0","0","1"
"223","31.9","31.62","31.74","33.45","32.64","33.73","33.44","34.94","36.48","37.31","38.94","Female","0","0","1"
"224","17.37","18.9","19.85","20.84","21.58","23.64","26.47","26.73","28.7","31.93","33.69","Female","0","1","0"
"225","29.89","31.44","35.55","37.2","39.21","41.95","44.65","46.29","47.04","49.46","51.97","Female","0","0","1"
"226","21.74","20.57","22.9","24.06","23.56","25.27","26.67","26.98","28.49","28.28","29.6","Female","0","1","0"
"227","30.74","32.96","33.25","32.88","34.12","35.63","38.01","40.41","43.41","46.75","48.71","Female","0","0","1"
"228","32.17","34.96","36.63","38.6","39.63","40.73","43.06","43.48","45.37","47.31","51.29","Female","0","0","1"
"229","29.54","29.15","32.08","34.87","35.45","37.7","41.06","39.73","42.16","43.8","44.1","Female","0","1","0"
"230","24.37","25.76","29.43","30.25","31.56","32.72","34.24","35.09","37.16","38.17","39.43","Female","0","0","1"
"231","27.42","27.45","29.36","31.55","33.43","35.54","37.02","40.87","41.16","44.7","46.57","Female","0","0","1"
"232","22.86","22.71","23.36","25.09","25.34","26.65","29.69","30.44","31.79","33.71","34.68","Female","0","1","0"
"233","24.82","26.77","28.96","30.92","31.71","32.82","36.18","39.61","41.27","42.28","43.37","Female","0","0","1"
"234","21.18","22.62","26.5","28.81","29.86","30.18","32.56","34.37","37.39","39.96","41.78","Female","0","1","0"
"235","9.67","11.19","13.99","13.92","14.55","15.91","17.85","20.18","19.59","19.02","19.69","Female","0","1","0"
"236","16.58","18.76","21.18","22.18","24.01","25.55","25.77","26.56","28.69","29.99","31.67","Female","0","1","0"
"237","17.95","19.75","21.23","22.77","23.87","27.3","29.04","28.63","29.51","31.89","32.72","Female","0","1","0"
"238","21.65","24.61","25.18","26.93","28.63","31.1","34.26","37.63","40.19","41.75","43.46","Female","0","0","1"
"239","20.1","20.7","23.14","24.22","25.14","27.59","28.15","30.29","32.14","34.42","35.89","Female","0","0","1"
"240","26.25","28.73","32.15","32.75","34.49","35.58","38.18","40.43","40.68","42.22","43.59","Female","0","0","1"
"241","25.22","27.96","30.33","32.47","34.68","35.75","37.5","37.72","39.52","40.12","40.02","Female","0","0","1"
"242","23.97","23.61","26.06","26.53","26.48","27.13","26.8","28.66","29.61","31.42","31.84","Female","0","1","0"
